PopRank,MSA,Pop2013,Pop2010,Change%,ChangePercent,Latitude,Longitude
1,"New York-Newark-Jersey City, NY-NJ-PA",19949502,19567410,1.95,0 to 5,40.7127837,-74.0059413
2,"Los Angeles-Long Beach-Anaheim, CA",13131431,12828837,2.36,0 to 5,34.0522342,-118.2436849
3,"Chicago-Naperville-Elgin, IL-IN-WI",9537289,9461105,0.81,0 to 5,41.8781136,-87.6297982
4,"Dallas-Fort Worth-Arlington, TX",6810913,6426214,5.99,5 to 10,32.7801399,-96.8004511
5,"Houston-The Woodlands-Sugar Land, TX",6313158,5920416,6.63,5 to 10,29.7601927,-95.3693896
6,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6034678,5965343,1.16,0 to 5,39.952335,-75.163789
7,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5949859,5636232,5.56,5 to 10,38.9071923,-77.0368707
8,"Miami-Fort Lauderdale-West Palm Beach, FL",5828191,5564635,4.74,0 to 5,25.7890972,-80.2040435
9,"Atlanta-Sandy Springs-Roswell, GA",5522942,5286728,4.47,0 to 5,33.7489954,-84.3879824
10,"Boston-Cambridge-Newton, MA-NH",4684299,4552402,2.9,0 to 5,42.3584308,-71.0597732
11,"San FranciscoOaklandHayward, CA",4516276,4335391,4.17,0 to 5,37.7749295,-122.4194155
12,"Phoenix-Mesa-Scottsdale, AZ",4398762,4192887,4.91,0 to 5,33.4483771,-112.0740373
13,"Riverside-San Bernardino-Ontario, CA",4380878,4224851,3.69,0 to 5,33.9533487,-117.3961564
14,"Detroit-Warren-Dearborn, MI",4294983,4296250,-0.03,-5 to 0,42.331427,-83.0457538
15,"Seattle-Tacoma-Bellevue, WA",3610105,3439809,4.95,0 to 5,47.6062095,-122.3320708
16,"Minneapolis-St. Paul-Bloomington, MN-WI",3459146,3348859,3.29,0 to 5,44.983334,-93.26667
17,"San Diego-Carlsbad, CA",3211252,3095313,3.75,0 to 5,32.715738,-117.1610838
