PopRank,City,State,city_pop_2013,Pop2010,city_pop_chg_pcnt,ChangePercent,SqMi,city_pop_sqmi,city_longitude,city_latitude,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,state_name
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10072.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10166.0,40.754591,-73.976238,-5.0,1.0,"40.754591,-73.976238",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10268.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10012.0,40.72596,-73.99834,-5.0,1.0,"40.72596,-73.99834",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10094.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10259.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10039.0,40.826181,-73.9371,-5.0,1.0,"40.826181,-73.9371",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10138.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10160.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10422.0,40.828278999999995,-73.869454,-5.0,1.0,"40.828279,-73.869454",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10149.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10040.0,40.858703999999996,-73.92853000000001,-5.0,1.0,"40.858704,-73.92853",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10017.0,40.752159000000006,-73.97231,-5.0,1.0,"40.752159,-73.97231",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10099.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10286.0,40.714231,-74.011895,-5.0,1.0,"40.714231,-74.011895",New York
