PopRank,City,State,Pop2013,Pop2010,Change%,ChangePercent,SqMi,PopPerSqMi,Latitude,Longitude
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385
2,Los Angeles,California,3884307,3792621,2.42,0 to 5,468.7,8092,34.0194,-118.4108
3,Chicago,Illinois,2718782,2695598,0.86,0 to 5,227.6,11842,41.8376,-87.6818
4,Houston,Texas,2195914,2100263,4.55,0 to 5,599.6,3501,29.7805,-95.3863
5,Philadelphia,Pennsylvania,1553165,1526006,1.78,0 to 5,134.1,11379,40.0094,-75.1333
6,Phoenix,Arizona,1513367,1445632,4.69,0 to 5,516.7,2798,33.5722,-112.088
7,San Antonio,Texas,1409019,1327407,6.15,5 to 10,460.9,2880,29.4724,-98.5251
8,San Diego,California,1355896,1307402,3.71,0 to 5,325.2,4020,32.8153,-117.135
9,Dallas,Texas,1257676,1197816,5,5 to 10,340.5,3518,32.7757,-96.7967
10,San Jose,California,998537,945942,5.56,5 to 10,176.5,5359,37.2969,-121.8193
11,Austin,Texas,885400,790390,12.02,10 to 15,297.9,2653,30.3072,-97.756
12,Indianapolis,Indiana,843393,820445,2.8,0 to 5,361.4,2270,39.7767,-86.1459
13,Jacksonville,Florida,842583,821784,2.53,0 to 5,747,1120,30.337,-81.6613
14,San Francisco,California,837442,805235,4,0 to 5,46.9,17179,37.7751,-122.4193
15,Columbus,Ohio,822553,787033,4.51,0 to 5,217.2,3624,39.9848,-82.985
16,Charlotte,North Carolina,792862,731424,8.4,5 to 10,297.7,2457,35.2087,-80.8307
17,Fort Worth,Texas,792727,741206,6.95,5 to 10,339.8,2181,32.7795,-97.3463
18,Detroit,Michigan,688701,713777,-3.51,-5 to 0,138.8,5144,42.383,-83.1022
19,El Paso,Texas,674433,649121,3.9,0 to 5,255.2,2543,31.8484,-106.427
20,Memphis,Tennessee,653450,646889,1.01,0 to 5,315.1,2053,35.1035,-89.9785
21,Seattle,Washington,652405,608660,7.19,5 to 10,83.9,7251,47.6205,-122.3509
22,Denver,Colorado,649495,600158,8.22,5 to 10,153,3923,39.7618,-104.8806
23,Washington,District of Columbia,646449,601723,7.43,5 to 10,61,9856,38.9041,-77.0171
24,Boston,Massachusetts,645966,617594,4.59,0 to 5,48.3,12793,42.332,-71.0202
25,Nashville,Tennessee,634464,601222,5.53,5 to 10,475.1,1265,36.1718,-86.785
26,Baltimore,Maryland,622104,620961,0.18,0 to 5,80.9,7672,39.3002,-76.6105
27,Oklahoma City,Oklahoma,610613,579999,5.28,5 to 10,606.4,956,35.4671,-97.5137
28,Louisville,Kentucky,609893,597337,2.1,0 to 5,325.2,1837,38.1781,-85.6667
29,Portland,Oregon,609456,583776,4.4,0 to 5,133.4,4375,45.537,-122.65
30,Las Vegas,Nevada,603488,583756,3.38,0 to 5,135.8,4298,36.2277,-115.264
31,Milwaukee,Wisconsin,599164,594833,0.73,0 to 5,96.1,6188,43.0633,-87.9667
32,Albuquerque,New Mexico,556495,545852,1.95,0 to 5,187.7,2908,35.1056,-106.6474
