"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"01001","AGAWAM, MA",,"G",9891,"G",96616,"G",422470,473,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA",,"H",8482,"H",70277,"H",299103,545,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA",,"G",337,"H",2461,"H",10380,21,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA",,"H",213,"H",1422,"H",5912,12,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA",,"H",1248,"H",8163,"H",35287,94,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA",,"G",1939,"G",14179,"G",60005,223,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA",,"G",184,"G",724,"G",3026,23,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA",,"G",137,"H",1615,"H",6238,17,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA",,"H",296,"H",3225,"H",16065,82,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA",,"G",32,"G",280,"G",1202,12,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA",,"J",45,"H",276,"H",1230,9,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA",,"G",4661,"G",42956,"G",185602,322,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA",,"G",8741,"G",76600,"G",330544,555,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA",,"G",246,"G",1539,"G",6809,7,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA",,"G",2310,"G",29776,"G",121569,64,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA",,"G",167,"H",1409,"H",8887,23,"CUMMINGTON","MA","HAMPSHIRE"
"01027","EASTHAMPTON, MA",,"G",4015,"G",38916,"G",153487,415,"EASTHAMPTON","MA","HAMPSHIRE"
"01028","EAST LONGMEADOW, MA",,"G",8184,"G",81804,"G",342535,510,"EAST LONGMEADOW","MA","HAMPDEN"
"01029","EAST OTIS, MA",,"H",193,"H",1425,"H",6804,14,"EAST OTIS","MA","BERKSHIRE"
"01030","FEEDING HILLS, MA",,"H",1033,"G",7620,"G",34878,209,"FEEDING HILLS","MA","HAMPDEN"
"01031","GILBERTVILLE, MA",,"H",76,"G",308,"G",1454,21,"GILBERTVILLE","MA","WORCESTER"
"01032","GOSHEN, MA",,"G",127,"G",952,"G",4734,27,"GOSHEN","MA","HAMPSHIRE"
"01033","GRANBY, MA",,"G",748,"G",6242,"G",28897,131,"GRANBY","MA","HAMPSHIRE"
"01034","GRANVILLE, MA",,"H",115,"H",1252,"H",5638,31,"GRANVILLE","MA","HAMPDEN"
"01035","HADLEY, MA",,"G",5242,"G",40263,"G",168423,315,"HADLEY","MA","HAMPSHIRE"
"01036","HAMPDEN, MA",,"G",952,"G",7669,"G",37063,117,"HAMPDEN","MA","HAMPDEN"
"01037","HARDWICK, MA",,"J",276,"J",3097,"J",13561,20,"HARDWICK","MA","WORCESTER"
"01038","HATFIELD, MA",,"H",1579,"H",18333,"H",74878,65,"HATFIELD","MA","HAMPSHIRE"
"01039","HAYDENVILLE, MA",,"H",269,"H",2744,"H",12283,35,"HAYDENVILLE","MA","HAMPSHIRE"
"01040","HOLYOKE, MA",,"G",16434,"G",186222,"G",725530,859,"HOLYOKE","MA","HAMPDEN"
"01041","HOLYOKE, MA",,"G",1026,"H",9214,"H",39291,25,"HOLYOKE","MA","HAMPDEN"
"01050","HUNTINGTON, MA",,"J",170,"H",1384,"H",5888,33,"HUNTINGTON","MA","HAMPSHIRE"
"01053","LEEDS, MA",,"H",1664,"H",28109,"H",109764,29,"LEEDS","MA","HAMPSHIRE"
"01054","LEVERETT, MA",,"G",116,"H",1039,"G",4984,38,"LEVERETT","MA","FRANKLIN"
"01056","LUDLOW, MA",,"G",4437,"G",42906,"G",199890,413,"LUDLOW","MA","HAMPDEN"
"01057","MONSON, MA",,"G",745,"H",7382,"H",33977,133,"MONSON","MA","HAMPDEN"
"01059","NORTH AMHERST, MA",,"H",65,"G",490,"G",2108,7,"NORTH AMHERST","MA","HAMPSHIRE"
"01060","NORTHAMPTON, MA",,"G",12115,"G",128814,"G",527663,755,"NORTHAMPTON","MA","HAMPSHIRE"
"01061","NORTHAMPTON, MA",,"G",91,"G",985,"G",4985,17,"NORTHAMPTON","MA","HAMPSHIRE"
"01062","FLORENCE, MA",,"G",1653,"G",17100,"G",68373,195,"FLORENCE","MA","HAMPSHIRE"
"01063","NORTHAMPTON, MA","H","S",0,"S",0,"S",0,4,"NORTHAMPTON","MA","HAMPSHIRE"
"01066","NORTH HATFIELD, MA","B","S",0,"S",0,"S",0,9,"NORTH HATFIELD","MA","HAMPSHIRE"
"01068","OAKHAM, MA",,"H",66,"H",687,"G",3572,29,"OAKHAM","MA","WORCESTER"
"01069","PALMER, MA",,"G",3235,"G",33708,"G",151097,260,"PALMER","MA","HAMPDEN"
"01070","PLAINFIELD, MA",,"H",21,"H",105,"H",534,9,"PLAINFIELD","MA","HAMPSHIRE"
"01071","RUSSELL, MA",,"J",89,"H",492,"G",2644,21,"RUSSELL","MA","HAMPDEN"
"01072","SHUTESBURY, MA",,"J",79,"G",319,"G",1955,21,"SHUTESBURY","MA","FRANKLIN"
"01073","SOUTHAMPTON, MA",,"G",1117,"H",8427,"G",36613,134,"SOUTHAMPTON","MA","HAMPSHIRE"
"01074","SOUTH BARRE, MA",,"G",55,"J",383,"J",2317,8,"SOUTH BARRE","MA","WORCESTER"
"01075","SOUTH HADLEY, MA",,"H",4623,"G",37838,"G",157337,310,"SOUTH HADLEY","MA","HAMPSHIRE"
"01077","SOUTHWICK, MA",,"G",2123,"G",17801,"G",80967,222,"SOUTHWICK","MA","HAMPDEN"
